C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C3:1
C9:1
D1:1
G***:3
IC1:1
IC2:1
IC3:1
IC4:1
IC5:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
R1:1
REF**:1
U1:1
